route_id,stop_name,stop_order
1-A,Faqir Colony,1
1-A,Metroville,2
1-A,Bawany Ghali,3
1-A,Valika Mill,4
1-A,Habbib Bank,5
1-A,Petrol Pump,6
1-A,Lasbela,7
1-A,Sabilwali Masjid,8
1-A,Old Exhibition,9
1-A,Sadar,10
1-A,Frere Road,11
1-A,Burns Road,12
1-A,Bandar Road,13
1-A,Tower,14
1-B,Nazimabd,1
1-B,Bara Maidan,2
1-B,Lasbela,3
1-B,Lawrence Road,4
1-B,Barness Street,5
1-B,Bandar Road,6
1-B,Tower,7
1-C,M.P.R Colony,1
1-C,Qasba Colony,2
1-C,Banaras Colony,3
1-C,Pathan Colony,4
1-C,S.I.T.E,5
1-C,Habib Bank,6
1-C,Bismillah Hotel,7
1-C,Gandhi Garden,8
1-C,Garden Road,9
1-C,Plaza,10
1-C,Regal,11
1-C,Shahra-e-Liaquat,12
1-C,National Museum,13
1-C,Tower,14
1-C,Sultanabad,15
1-D,Ittehad Town,1
1-D,Torri Chowk Sector II,2
1-D,Orangi Township,3
1-D,Banaras Colony,4
1-D,Pathan Colony,5
1-D,Petrol Pump,6
1-D,Liaquatabad No. 10,7
1-D,Liaquatabad,8
1-D,Post Office,9
1-D,Teen Hatti,10
1-D,Jehangir Road,11
1-D,Empress Market,12
1-D,Cantt Station,13
1-F,Naval Colony,1
1-F,Mauripur,2
1-F,Gulbai Chowk,3
1-F,Tower,4
1-F,Juna Market,5
1-F,Ramswami,6
1-F,Garden Bara Board,7
1-F,Valika,8
1-F,Orangi Township No. 10,9
1-G,M.W Tower,1
1-G,Frere Road,2
1-G,Sadar,3
1-G,Numaish,4
1-G,Goro Mandir,5
1-G,Teen Hatti,6
1-G,Liaquat No. 10,7
1-G,Petrol Pump,8
1-G,Nazimabad No. 2,9
1-G,Gandhi Chowk,10
1-G,Paposh Nagar,11
1-G,Abdullah College,12
1-G,Metro Cinema,13
1-G,Data Chowk Orangi Town,14
1-H,Gulshan-e-Bahar,1
1-H,Orangi Sector No. 14,2
1-H,Orangi Sector No. 13,3
1-H,Orangi Sector No. 7,4
1-H,Orangi Sector No. 5,5
1-H,Qadafi Chowk,6
1-H,Qasba Mour,7
1-H,Banaras Colony,8
1-H,Valika Hospital,9
1-H,Valika Mill,10
1-H,Habib Bank,11
1-H,S.I.T.E,12
1-H,Post Office,13
1-H,Maroon Mill,14
1-H,Laltain Factory,15
1-H,Ghani Chowk,16
1-H,Shershah,17
1-H,Miran Naka,18
1-H,Chakiwara,19
1-H,Lee Market,20
1-H,Kharadar,21
1-H,Jamat Khana,22
1-H,Tower,23
1-K,Tower,1
1-K,Regal Cinema,2
1-K,Plaza,3
1-K,Garden,4
1-K,Pakistan Quarters,5
1-K,Bara Board,6
1-K,Banaras,7
1-K,Qasba Mour,8
1-K,Orangi Sector No. 1,9
1-K,Metro Cinema,10
1-K,Orangi Sector No. 5,11
1-K,Masjid-e-Usman,12
10,Nursery,1
10,P.E.C.H.S,2
10,Society Office,3
10,Jamshed Road,4
10,New Town Masjid,5
10,Municipal Dispensary,6
10,Guru Mandir,7
10,K.M.C Primary School,8
10,Old Exhibition,9
10,Plaza Cinema,10
10,Saeed Manzil,11
10,Boulton Market,12
10,Tower,13
10-A,Lal Kothi,1
10-A,Nursery,2
10-A,Shahrah-e-Millat Road,3
10-A,Jamaluddin Afghani Road,4
10-A,Khalid Bin Walid Road,5
10-A,P.E.C.H.S,6
10-A,Society Office,7
10-A,Kudadad Colony,8
10-A,M.A Jinnah Road,9
10-A,Frere Street,10
10-A,Preedy Street,11
10-A,Frere Road,12
10-A,Burns Road,13
10-A,Bunder Road,14
10-A,Tower,15
11,End of Sector 4 Baldia Town,1
11,Shershah,2
11,Gulbai,3
11,Kharadar,4
11,Tower,5
11,City P.O Burns Road,6
11,Frere Road,7
11,Regal,8
11,Empress Market,9
11,Katrak Road,10
11,M.A Jinnah Road,11
11,Old Exhibition,12
11,Shahrah-e- Qaideen,13
11,Khudadad Colony,14
11,Qabrustan,15
11,Tariq Road,16
11,Bahadurabad,17
11,Khatoon-e-Pakistan College,18
11,Dhoraji Society,19
11-A,Gulistan-e-Johar,1
11-A,Sufari Park,2
11-A,N.I.P.A Chowrangi,3
11-A,Civic Centre,4
11-A,Sabzi Mandi,5
11-A,Jail Road,6
11-A,Hyderabad Colony,7
11-A,Guru Mandir,8
11-A,Numaish,9
11-A,Saddar,10
11-A,Regal,11
11-A,Saeed Manzil,12
11-A,M.A Jinnah Road,13
11-B,Super Market (Near Maymar Flats),1
11-B,Sehrah Goth,2
11-B,Water Pump,3
11-B,Fazal Mills,4
11-B,Rashid Minhas Road,5
11-B,Moti Mahal,6
11-B,N.I.P.A Chowrangi,7
11-B,Mouchi Mor No 5,8
11-B,Urdu College,9
11-B,Hasan Square,10
11-B,Sabzi Mandi,11
11-B,Bahadurabad,12
11-B,Tariq Road,13
11-B,Nursery,14
11-B,Gora Qabrustan,15
11-B,Fleet Club Shahrah-e-Iraq,16
11-B,Masid-e-Khizra,17
11-B,Burns Road,18
11-B,M.A Jinnah Road,19
11-B,Tower,20
11-B,Khoja Jamat Khana,21
11-B,Baghdadi,22
11-B,Agra Taj Colony,23
11-C,Azam Basti,1
11-C,Corporation,2
11-C,Kalapul,3
11-C,Jinnah Hospital,4
11-C,Saddar,5
11-C,7th Day Hospital,6
11-C,Numaish,7
11-C,Guru Mandir,8
11-C,Islamia College,9
11-C,Jail Road,10
11-C,New Town Police Station,11
11-C,Sabzi Mandi,12
11-C,Civic Centre,13
11-C,Urdu College,14
11-C,N.I.P.A Chowrangi,15
11-C,Safari Park,16
11-C,University Road,17
