stop_name,latitude,longitude
(HQ) Mansfield street,24.8648308,67.0294183
100 Feet Road,24.8546842,67.0207055
100 Quarters,24.8835176,67.0422356
13-D Bridge,24.8555946,67.2111896
19-D Mohajir camp,,
19-D Nai Abadi,24.9170133,66.9626852
19-D Qabrustan,24.9464073,67.1076454
19-D Saeedabad,24.9115144,66.968816
2-D Bus Stop,,
2Min Chowrangi,,
36-B Area,24.937149,67.0876128
5-A,24.8546842,67.0207055
5-B Area,24.937149,67.0876128
5-E,24.8688628,67.0487719
7 Day Hospital,,
7th Day Hospital,24.8661719,67.0276214
7th day hospital,24.8661719,67.0276214
89 Bus Stop,,
A.B biscuit factory,,
A.P.W.A College,,
A.P.W.A Girls College,,
A.P.W.A School,,
APWA Girls College,24.8974121,67.0294056
Abbasi Hospital,24.92053,67.0297799
Abbasi Shaheed Hospital,24.92053,67.0297799
Abbasi Sheed Hospital,,
Abbasi hospital,24.92053,67.0297799
Abbysinia,,
Abdoz Chowrangi,,
Abdul Hameed Badayuni College,,
Abdullah Appartments,,
Abdullah Colege,,
Abdullah College,24.8567435,66.9916686
Abdullah Gabol Goth,25.0320204,67.124965
Abdullah Shah Gazi Mazar,,
Abdullah Shah Ghazi,24.9287672,66.9791682
Abdullah Shah Ghazi Mazar,,
Abdullah college,24.8567435,66.9916686
Abidabad,24.914389,66.975639
Abidabad Orangi,24.9277653,66.9796671
Abro Salt Works,,
Abul Hassan Isphahani Road,,
Achanak Hotal,,
Ack Ack School,,
Adam Road,24.8382175,67.038217
Adamjee Road,24.9401172,67.1142498
Agha Khan Hospital,24.866234,67.0249781
Agha Khan Jamat Khana,24.9131581,67.027236
Agha Khan Road,24.8692931,67.0226843
Agha KhanRoad,,
Agha khan Road,24.8692931,67.0226843
Agha khan hospital,24.866234,67.0249781
Agra Taj,24.8714202,66.9826114
Agra Taj Colony,24.8714202,66.9826114
Agra taj Colony,24.871593,66.9819781
Agra taj hanif manzil,,
Agra taj moosa lane,,
Air Port,,
Airport,24.8861183,67.1440848
Aisha Manzil,24.9255881,67.0656603
Aisha manzil,24.9255881,67.0656603
Ajmer Palza,,
Akhtak Colony,,
Akhtar Colony,24.8863237,66.9895196
Akhter Colony,24.8362205,67.0746864
Akthar Colony,,
Akther Colony,,
Al ahmed Town,24.9147271,67.1279221
Al asif square sohrab goth,24.9510215,67.0915684
Al-Ahmed Town,24.933121,67.049826
Al-Asif Plaza,,
Al-Asif Square,24.9510215,67.0915684
Al-Azam Square,24.91364,67.0520681
Al-Azam Town,24.8464347,67.0685709
Al-Azam square,24.91364,67.0520681
Al-Hyderi,24.9375922,67.0418997
Al-Noor Gulberg,24.9166287,67.0588339
Al-Noor Society,24.9948579,67.1089952
Al-Noor Stop,,
Al-Shifa,24.826204,66.9815855
Al-majid school,,
Alamgir Road,24.8795122,67.0715555
Aliabad,24.9203933,67.0636894
Allah Wala Town,24.8204525,67.1061302
Allahwala Town,24.8282033,67.1119669
Allama Iqbal College,24.8800329,67.1499058
Allama Rashid Turabi Chowk 2,,
Allama Turabi Road,24.9259883,67.0484889
Allied Bank New Karachi Branch No. 5,,
Alnoor Society,24.9450867,67.0412223
Altaf Nagar,24.8743092,67.0211553
Ancholi,24.9447754,67.0795328
Angara Goth,,
Anglo Orient School,,
Aram Bagh,24.8560412,67.0129337
Aram bagh,24.8560412,67.0129337
Arts Concil,,
Asia mor,,
Asif Centre Super Highway,,
Asif Market,24.9573476,67.202991
Asif square,24.9510215,67.0915684
Askari Appartment,,
Asoo Goth,,
Asphalt,,
Asso Goth,,
Auliya Masjid,24.8733225,67.059279
Awami Goth,24.9217958,67.1502004
Ayub Goth,24.9478873,67.131024
Ayub Manzil,24.9198976,67.0731208
Aza,24.9256502,67.1519547
Azam Basti,24.8481043,67.0746834
Azeem Pure,,
Azimpura,,
Aziz Bhatti Park,24.9126317,67.0945412
Aziz Bhatti Shaheed Road,,
Aziz Medical Centre,24.8565688,67.1954664
Aziz Mills,,
Azizabad,24.9161647,67.0653569
Azizabad Chowrangi,,
B-3 Mini Bus Stop,,
Baba-e-Urdu Road,,
Baba-e-urdu,24.9024963,67.0502744
Baba-e-urdu Road,,
Babar Market,24.8586062,67.0038439
Baber Market,,
Bacha Khan Chowk,,
Bacha khan Chowk,,
Bachoha Jail,,
Badar Chowk,24.9355399,66.9927997
Badar Chowk No 4,24.9329617,66.9980435
Badar Chowk No 5,24.9329617,66.9980435
Badar Hotel,,
Badhni Goth,,
Bagh-e-jinnah,24.8496128,67.0229811
Baghdadi,24.8621739,66.9961779
Baghdadi P.S Noorabad,,
Bahadurabad,24.8823404,67.0674014
